付	フ,つ-ける,つ-く
府	フ
阜	フ
富	フ,と-む,とみ
副	フク
兵	ヘイ,ヒョウ
別	ベツ,わか-れる
辺	ヘン,あた-り,べ
変	ヘン,か-わる,か-える
便	ベン,ビン,たよ-り
包	ホウ,つつ-む
法	ホウ
望	ボウ,のぞ-む
牧	ボク
末	マツ,すえ
満	マン,み-ちる,み-たす
未	ミ
民	ミン
無	ム,ブ,な-い
約	ヤク
勇	ユウ,いさ-む
要	ヨウ,かなめ
養	ヨウ,やしな-う
浴	ヨク,あ-びる,あ-びせる
利	リ
陸	リク
良	リョウ,よ-い
料	リョウ
量	リョウ,はか-る
輪	リン,わ
類	ルイ,たぐ-い
令	レイ
冷	レイ,つめ-たい,ひ-える,ひ-や,ひ-やす,ひ-やかす,さ-める,さ-ます
例	レイ,たと-える
連	レン,つら-なる,つら-ねる,つ-れる
老	ロウ,お-いる
労	ロウ
録	ロク
圧	アツ
囲	イ,かこ-む,かこ-う
移	イ,うつ-る,うつ-す
因	イン
永	エイ,なが-い
営	エイ,いとな-む
衛	エイ
易	エキ,イ,やさ-しい
益	エキ
液	エキ
演	エン
応	オウ,こた-える
往	オウ
桜	さくら
可	カ
仮	カ,かり
価	カ
河	カ,かわ
過	カ,す-ぎる,す-ごす
快	カイ,こころよ-い
解	カイ,と-く,と-かす,と-ける
格	カク
確	カク,たし-か,たし-かめる
額	ガク,ひたい
刊	カン
幹	カン,みき
慣	カン,な-れる,な-らす
眼	ガン
紀	キ
基	キ
寄	キ,よ-る,よ-せる
規	キ
喜	キ,よろこ-ぶ
技	ギ
義	ギ
逆	ギャク,さか,さか-らう
久	キュウ,ひさ-しい
旧	キュウ
救	キュウ,すく-う
居	キョ,い-る
許	キョ,ゆる-す
境	キョウ,さかい
均	キン
禁	キン
句	ク
型	ケイ,かた
経	ケイ,へ-る
潔	ケツ
件	ケン
険	ケン,けわ-しい
検	ケン
限	ゲン,かぎ-る
現	ゲン,あらわ-れる,あらわ-す
減	ゲン,へ-る,へ-らす
故	コ
個	コ
護	ゴ
効	コウ,き-く
厚	あつ-い
耕	コウ,たがや-す
航	コウ
鉱	コウ
構	コウ,かま-える,かま-う
興	コウ,キョウ
講	コウ
告	コク,つ-げる
混	コン,ま-じる,ま-ざる,ま-ぜる,こ-む
査	サ
再	サイ,サ,ふたた-び
災	サイ
妻	サイ,つま
採	サイ,と-る
際	サイ
在	ザイ,あ-る
財	ザイ
罪	ザイ,つみ
殺	サツ,ころ-す
雑	ザツ,ゾウ
酸	サン
賛	サン
士	シ
支	シ,ささ-える
史	シ
志	シ,こころざ-す,こころざし
枝	えだ
師	シ
資	シ
飼	シ,か-う
示	ジ,しめ-す
似	に-る
識	シキ
質	シツ
舎	シャ
謝	シャ
授	ジュ
修	シュウ,おさ-める,おさ-まる
述	ジュツ,の-べる
術	ジュツ
準	ジュン
序	ジョ
招	ショウ,まね-く
証	ショウ
象	ショウ,ゾウ
賞	ショウ
条	ジョウ
状	ジョウ
常	ジョウ,つね
情	ジョウ,なさ-け
織	シキ,お-る
職	ショク
制	セイ
性	セイ
政	セイ
勢	セイ,いきお-い
精	セイ
製	セイ
税	ゼイ
責	セキ,せ-める
績	セキ
接	セツ
設	セツ,もう-ける
絶	ゼツ,た-える,た-やす,た-つ
祖	ソ
素	ソ
総	ソウ
造	ゾウ,つく-る
像	ゾウ
増	ゾウ,ま-す,ふ-える,ふ-やす
則	ソク
測	ソク,はか-る
属	ゾク
率	リツ,ひき-いる
損	ソン
貸	か-す
態	タイ
団	ダン
断	ダン,ことわ-る
